match_id,date,season,venue,city,toss_winner,toss_decision,match_won_by,player_of_match,team1,team2,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,team1_win,bat_first_won,chasing_team_won
335982,2008-04-18,2007/08,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangaluru,field,Kolkata Knight Riders,BB McCullum,Kolkata Knight Riders,Royal Challengers Bangaluru,222,3,82,10,1,1,0
335983,2008-04-19,2007/08,Punjab Cricket Association Stadium,Chandigarh,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Punjab Kings,240,5,207,4,1,1,0
335984,2008-04-19,2007/08,Arun Jaitley Stadium,Delhi,Rajasthan Royals,bat,Delhi Capitals,MF Maharoof,Rajasthan Royals,Delhi Capitals,129,8,132,1,0,0,1
335985,2008-04-20,2007/08,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bangaluru,MV Boucher,Mumbai Indians,Royal Challengers Bangaluru,165,6,166,5,0,0,1
335986,2008-04-20,2007/08,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,Deccan Chargers,Kolkata Knight Riders,110,10,112,5,0,0,1
335987,2008-04-21,2007/08,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,Rajasthan Royals,SR Watson,Punjab Kings,Rajasthan Royals,166,8,168,4,0,0,1
335988,2008-04-22,2007/08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Deccan Chargers,bat,Delhi Capitals,V Sehwag,Deccan Chargers,Delhi Capitals,142,8,143,1,0,0,1
335989,2008-04-23,2007/08,"MA Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,field,Chennai Super Kings,ML Hayden,Chennai Super Kings,Mumbai Indians,208,5,202,7,1,1,0
335990,2008-04-24,2007/08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Deccan Chargers,Rajasthan Royals,214,5,217,7,0,0,1
335991,2008-04-25,2007/08,Punjab Cricket Association Stadium,Chandigarh,Mumbai Indians,field,Punjab Kings,KC Sangakkara,Punjab Kings,Mumbai Indians,182,10,116,9,1,1,0
335992,2008-04-26,2007/08,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Royal Challengers Bangaluru,Rajasthan Royals,135,8,138,3,0,0,1
335993,2008-04-26,2007/08,"MA Chidambaram Stadium, Chennai",Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,Kolkata Knight Riders,Chennai Super Kings,147,9,152,1,0,0,1
335994,2008-04-27,2007/08,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,Mumbai Indians,Deccan Chargers,154,7,155,0,0,0,1
335995,2008-04-27,2007/08,Punjab Cricket Association Stadium,Chandigarh,Delhi Capitals,bat,Punjab Kings,SM Katich,Delhi Capitals,Punjab Kings,158,8,162,6,0,0,1
335996,2008-04-28,2007/08,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Royal Challengers Bangaluru,178,5,165,10,1,1,0
335997,2008-04-29,2007/08,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,137,8,138,3,0,0,1
335998,2008-04-30,2007/08,Arun Jaitley Stadium,Delhi,Royal Challengers Bangaluru,field,Delhi Capitals,GD McGrath,Delhi Capitals,Royal Challengers Bangaluru,191,5,181,5,1,1,0
335999,2008-05-01,2007/08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Punjab Kings,field,Punjab Kings,SE Marsh,Deccan Chargers,Punjab Kings,164,8,167,3,0,0,1
336000,2008-05-01,2007/08,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals,SA Asnodkar,Rajasthan Royals,Kolkata Knight Riders,196,7,151,10,1,1,0
336001,2008-05-02,2007/08,"MA Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,bat,Delhi Capitals,V Sehwag,Chennai Super Kings,Delhi Capitals,169,6,172,2,0,0,1
336002,2008-05-25,2007/08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Deccan Chargers,bat,Royal Challengers Bangaluru,R Vinay Kumar,Deccan Chargers,Royal Challengers Bangaluru,165,10,171,5,0,0,1
336003,2008-05-03,2007/08,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,bat,Punjab Kings,IK Pathan,Punjab Kings,Kolkata Knight Riders,178,6,169,6,1,1,0
336004,2008-05-04,2007/08,Dr DY Patil Sports Academy,Mumbai,Delhi Capitals,field,Mumbai Indians,SM Pollock,Mumbai Indians,Delhi Capitals,162,8,133,10,1,1,0
336005,2008-05-04,2007/08,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Rajasthan Royals,Sohail Tanvir,Chennai Super Kings,Rajasthan Royals,109,10,110,2,0,0,1
336006,2008-05-05,2007/08,M Chinnaswamy Stadium,Bangalore,Punjab Kings,field,Punjab Kings,S Sreesanth,Royal Challengers Bangaluru,Punjab Kings,126,10,127,4,0,0,1
336007,2008-05-06,2007/08,"MA Chidambaram Stadium, Chennai",Chennai,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,Chennai Super Kings,Deccan Chargers,144,7,148,3,0,0,1
336008,2008-05-07,2007/08,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Mumbai Indians,A Nehra,Rajasthan Royals,Mumbai Indians,103,10,104,3,0,0,1
336009,2008-05-08,2007/08,Arun Jaitley Stadium,Delhi,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Delhi Capitals,Chennai Super Kings,187,5,188,6,0,0,1
336010,2008-05-08,2007/08,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,Royal Challengers Bangaluru,129,7,124,4,1,1,0
336011,2008-05-09,2007/08,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,Deccan Chargers,Rajasthan Royals,140,8,141,2,0,0,1
336012,2008-05-28,2007/08,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians,CRD Fernando,Royal Challengers Bangaluru,Mumbai Indians,122,9,126,1,0,0,1
336013,2008-05-10,2007/08,"MA Chidambaram Stadium, Chennai",Chennai,Punjab Kings,field,Chennai Super Kings,L Balaji,Chennai Super Kings,Punjab Kings,181,4,163,9,1,1,0
336014,2008-05-11,2007/08,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,Deccan Chargers,204,4,181,7,1,1,0
336015,2008-05-11,2007/08,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Delhi Capitals,Rajasthan Royals,156,7,159,7,0,0,1
336016,2008-05-12,2007/08,Punjab Cricket Association Stadium,Chandigarh,Royal Challengers Bangaluru,bat,Punjab Kings,SE Marsh,Royal Challengers Bangaluru,Punjab Kings,143,8,144,1,0,0,1
336017,2008-05-13,2007/08,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shoaib Akhtar,Kolkata Knight Riders,Delhi Capitals,133,6,110,10,1,1,0
